symbol,strategy_rule_stack,edge_score,win_pct,sharpe,total_return,total_trades,config_hash,run_date,config_details
"DMART","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0446,0.4000,-0.4884,-1103.2688,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"EICHERMOT","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.1829,0.2000,-0.7574,-1760.7902,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"EICHERMOT","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.1829,0.2000,-0.7574,-1760.7902,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"FEDERALBNK","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.0119,0.3000,-0.4797,-1057.1969,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"FEDERALBNK","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.1812,0.2000,-0.7531,-1666.8284,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"HCLTECH","strong_bullish_engulfing + confirm_with_medium_term_uptrend + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4639,0.5455,0.3415,836.8061,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"HCLTECH","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4639,0.5455,0.3415,836.8061,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"HCLTECH","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4639,0.5455,0.3415,836.8061,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"HDFCBANK","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0800,0.3000,-0.2500,-462.2059,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"HDFCBANK","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0472,0.3000,-0.3320,-606.5619,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
